d,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,day_of_week,is_weekend,is_holiday,sell_price,price_lag_7,price_change_7,lag_7,lag_28,rolling_mean_7,rolling_mean_28,rolling_std_28,sales
944,6,8,2013,0,0,0,0,0,0,0,6,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
1791,6,12,2015,0,0,0,0,0,0,0,6,0,0,1.68,1.68,0.0,85.0,100.0,84.85714285714286,78.85714285714286,16.634890342878002,82
217,7,9,2011,0,0,0,0,1,0,1,7,1,0,11.97,11.97,0.0,0.0,0.0,0.0,0.14285714285714285,0.3563483225498991,0
1024,2,11,2013,0,0,0,0,0,0,0,2,0,0,7.97,7.97,0.0,2.0,1.0,1.0,0.35714285714285715,0.7800420555749592,0
766,3,3,2013,0,0,0,0,1,0,0,3,0,0,7.5,7.97,-0.46999999999999975,1.0,0.0,2.2857142857142856,2.107142857142857,2.2499265126153154,0
761,5,2,2013,0,0,0,0,0,0,0,5,0,0,6.97,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0
707,7,1,2013,0,0,0,0,1,0,0,7,1,0,2.42,2.42,0.0,0.0,8.0,1.1428571428571428,1.75,2.0660393313096717,0
1579,4,5,2015,0,0,0,0,0,0,0,4,0,0,5.24,5.24,0.0,0.0,0.0,0.14285714285714285,0.6785714285714286,0.9449111825230688,0
1687,7,9,2015,0,0,0,0,0,1,1,7,1,0,7.97,7.97,0.0,0.0,0.0,0.0,0.14285714285714285,0.44839513942303233,0
401,2,3,2012,0,0,0,0,1,0,0,2,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
1472,2,2,2015,0,0,0,0,1,0,1,2,0,0,5.5,5.5,0.0,0.0,0.0,0.14285714285714285,0.03571428571428571,0.18898223650461307,0
756,7,2,2013,0,0,0,0,0,0,0,7,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
1674,1,8,2015,0,0,0,0,0,0,0,1,1,0,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0
471,2,5,2012,11,2,0,0,0,1,0,2,0,1,,,,0.0,0.0,0.0,0.0,0.0,0
1589,7,6,2015,0,0,0,0,1,1,1,7,1,0,1.0,1.0,0.0,7.0,6.0,5.0,4.964285714285714,4.185354915320298,3
1195,5,5,2014,0,0,0,0,1,1,0,5,0,0,2.48,2.48,0.0,3.0,0.0,2.857142857142857,2.607142857142857,1.66309140334289,2
1103,4,2,2014,0,0,0,0,1,0,0,4,0,0,3.67,3.67,0.0,1.0,0.0,1.1428571428571428,1.1071428571428572,1.2274419565151549,1
595,7,9,2012,0,0,0,0,0,0,1,7,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
421,1,3,2012,0,0,0,0,0,0,0,1,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
1405,5,12,2014,0,0,0,0,1,1,1,5,0,0,2.5,2.5,0.0,0.0,0.0,1.0,0.25,0.700528900717694,0
122,3,5,2011,12,3,0,0,0,0,0,3,0,1,,,,0.0,0.0,0.0,0.0,0.0,0
1342,5,10,2014,0,0,0,0,1,1,0,5,0,0,8.88,8.88,0.0,0.0,0.0,1.4285714285714286,1.1785714285714286,1.090483121902141,1
775,5,3,2013,0,0,0,0,0,1,0,5,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
908,5,7,2013,0,0,0,0,0,0,0,5,0,0,6.97,6.97,0.0,0.0,0.0,0.42857142857142855,0.42857142857142855,0.6900655593423559,0
725,4,1,2013,0,0,0,0,0,0,0,4,0,0,6.48,6.48,0.0,3.0,0.0,4.428571428571429,4.285714285714286,2.8784916685156996,3
510,6,6,2012,14,1,0,0,0,0,0,6,0,1,2.78,2.78,0.0,8.0,4.0,7.857142857142857,5.892857142857143,3.9189878295888563,5
868,7,6,2013,0,0,0,0,0,0,1,7,1,0,2.97,2.97,0.0,0.0,0.0,0.0,0.10714285714285714,0.4162696521251858,1
1293,5,8,2014,0,0,0,0,0,1,0,5,0,0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0
420,7,3,2012,0,0,0,0,0,0,0,7,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
1221,3,6,2014,0,0,0,0,1,0,1,3,0,0,2.18,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0
689,3,12,2012,0,0,0,0,0,0,0,3,0,0,6.98,6.98,0.0,7.0,2.0,2.7142857142857144,2.0714285714285716,2.0535167924638977,1
1018,3,11,2013,23,3,0,0,0,1,1,3,0,1,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0
334,5,12,2011,26,4,0,0,0,0,0,5,0,1,,,,0.0,0.0,0.0,0.0,0.0,0
640,3,10,2012,0,0,0,0,0,0,0,3,0,0,4.98,4.98,0.0,2.0,3.0,1.0,1.0714285714285714,1.015749000366742,0
848,1,5,2013,0,0,0,0,0,0,0,1,1,0,5.97,5.97,0.0,1.0,0.0,0.42857142857142855,0.2857142857142857,0.5345224838248487,0
685,6,12,2012,0,0,0,0,0,1,0,6,0,0,2.08,2.08,0.0,0.0,0.0,0.2857142857142857,0.10714285714285714,0.416269652125186,0
728,7,1,2013,0,0,0,0,0,0,0,7,1,0,5.67,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0
820,1,4,2013,0,0,0,0,0,0,0,1,1,0,5.47,5.47,0.0,0.0,0.0,0.0,0.39285714285714285,0.7373267889143821,1
1643,5,7,2015,0,0,0,0,0,0,0,5,0,0,1.98,1.98,0.0,0.0,0.0,0.0,0.32142857142857145,0.9449111825230818,0
519,1,6,2012,0,0,0,0,0,0,0,1,1,0,8.98,,,0.0,0.0,0.0,0.0,0.0,0
594,6,9,2012,0,0,0,0,0,1,0,6,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
1434,6,1,2015,27,3,0,0,1,1,0,6,0,1,0.97,0.97,0.0,0.0,1.0,2.7142857142857144,2.2857142857142856,2.5071326821120357,6
847,7,5,2013,0,0,0,0,0,0,0,7,1,0,4.88,4.88,0.0,1.0,0.0,0.2857142857142857,0.42857142857142855,0.690065559342352,1
1277,3,7,2014,0,0,0,0,0,0,0,3,0,0,6.36,6.36,0.0,2.0,2.0,2.5714285714285716,2.5,1.5752718754175326,2
436,2,4,2012,30,2,0,0,1,0,1,2,0,1,,,,0.0,0.0,0.0,0.0,0.0,0
227,3,9,2011,0,0,0,0,0,1,1,3,0,0,1.98,1.98,0.0,3.0,8.0,1.8571428571428572,2.4642857142857144,2.1513500129701963,6
1808,2,1,2016,0,0,0,0,1,0,0,2,0,0,12.98,12.98,0.0,0.0,0.0,0.2857142857142857,0.17857142857142858,0.3900210277874802,0
1008,7,11,2013,0,0,0,0,1,1,0,7,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
1664,5,8,2015,0,0,0,0,0,0,0,5,0,0,2.88,2.88,0.0,0.0,0.0,1.1428571428571428,1.0357142857142858,1.1700630833624395,2
1443,1,1,2015,0,0,0,0,1,0,0,1,1,0,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0
944,6,8,2013,0,0,0,0,0,0,0,6,0,0,0.88,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0
979,6,10,2013,0,0,0,0,1,1,1,6,0,0,11.97,11.97,0.0,0.0,0.0,0.0,0.21428571428571427,0.4178554470186722,1
1065,1,12,2013,0,0,0,0,0,0,0,1,1,0,2.5,2.5,0.0,2.0,1.0,0.7142857142857143,0.8571428571428571,1.0788981249502447,0
1698,4,9,2015,0,0,0,0,0,0,0,4,0,0,4.88,4.88,0.0,0.0,0.0,0.8571428571428571,0.9285714285714286,1.1841099620036974,1
69,6,4,2011,0,0,0,0,1,1,0,6,0,0,1.47,1.47,0.0,0.0,0.0,0.14285714285714285,0.25,0.5853140973807078,0
842,2,5,2013,0,0,0,0,0,0,0,2,0,0,3.28,3.28,0.0,0.0,14.0,0.0,2.25,3.5237290853109937,0
1743,7,11,2015,0,0,0,0,1,1,1,7,1,0,1.98,1.98,0.0,5.0,5.0,3.4285714285714284,3.0357142857142856,2.3801982932822905,0
200,4,8,2011,0,0,0,0,0,0,0,4,0,0,0.5,0.5,0.0,8.0,1.0,7.142857142857143,6.321428571428571,5.5714455297530625,7
1686,6,9,2015,0,0,0,0,1,0,0,6,0,0,2.5,2.5,0.0,0.0,0.0,1.5714285714285714,1.1785714285714286,1.2488089563755576,1
1439,4,1,2015,0,0,0,0,1,1,1,4,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
662,4,11,2012,0,0,0,0,0,0,0,4,0,0,10.97,10.97,0.0,0.0,0.0,0.0,0.0,0.0,0
579,5,8,2012,0,0,0,0,0,0,0,5,0,0,2.0,2.0,0.0,5.0,12.0,6.571428571428571,8.571428571428571,3.5426352550417257,5
381,3,2,2012,0,0,0,0,0,1,0,3,0,0,2.88,2.88,0.0,0.0,0.0,0.0,0.03571428571428571,0.1889822365045992,0
839,6,5,2013,0,0,0,0,0,0,0,6,0,0,1.38,1.38,0.0,42.0,13.0,21.285714285714285,19.035714285714285,11.370794763118928,13
1411,4,12,2014,0,0,0,0,1,1,1,4,0,0,2.97,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0
532,7,7,2012,0,0,0,0,0,1,0,7,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
1192,2,5,2014,0,0,0,0,1,0,0,2,0,0,2.48,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0
219,2,9,2011,0,0,0,0,1,0,0,2,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
711,4,1,2013,0,0,0,0,1,0,1,4,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
907,4,7,2013,0,0,0,0,0,0,0,4,0,0,2.48,2.48,0.0,2.0,0.0,1.2857142857142858,1.0357142857142858,1.5981967351464614,0
1373,1,11,2014,0,0,0,0,1,1,0,1,1,0,2.5,2.5,0.0,1.0,0.0,1.1428571428571428,0.8928571428571429,1.5236235005501098,0
917,7,8,2013,0,0,0,0,1,0,1,7,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
1483,6,2,2015,0,0,0,0,0,0,0,6,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
1322,6,9,2014,0,0,0,0,0,1,1,6,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
179,4,7,2011,0,0,0,0,0,0,0,4,0,0,4.98,4.98,0.0,0.0,0.0,0.5714285714285714,0.4642857142857143,0.637247719560185,0
411,5,3,2012,0,0,0,0,0,0,1,5,0,0,3.98,3.98,0.0,3.0,2.0,2.7142857142857144,1.7142857142857142,1.7182493859684478,1
598,3,9,2012,0,0,0,0,0,0,0,3,0,0,2.24,2.24,0.0,0.0,0.0,1.0,1.3214285714285714,1.588233853211415,0
481,5,5,2012,0,0,0,0,0,0,0,5,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
227,3,9,2011,0,0,0,0,0,1,1,3,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
309,1,12,2011,0,0,0,0,1,1,1,1,1,0,9.47,9.47,0.0,1.0,2.0,0.7142857142857143,1.0,1.1221672153735642,1
1748,5,11,2015,23,3,0,0,0,1,1,5,0,1,1.38,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0
1081,3,1,2014,0,0,0,0,0,1,0,3,0,0,1.78,1.78,0.0,0.0,0.0,0.0,0.6071428571428571,1.448863813202044,0
484,1,5,2012,0,0,0,0,0,0,0,1,1,0,4.88,4.88,0.0,0.0,0.0,0.0,0.10714285714285714,0.31497039417435235,0
177,2,7,2011,0,0,0,0,0,0,0,2,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
1711,3,10,2015,0,0,0,0,1,1,1,3,0,0,6.72,6.72,0.0,0.0,0.0,0.0,0.8571428571428571,1.3253730631839962,0
176,1,7,2011,0,0,0,0,0,0,0,1,1,0,4.74,4.74,0.0,0.0,0.0,0.42857142857142855,0.39285714285714285,0.685256681526506,1
68,5,4,2011,0,0,0,0,1,1,1,5,0,0,2.58,2.58,0.0,0.0,0.0,0.7142857142857143,0.39285714285714285,1.030615986761952,0
204,1,8,2011,0,0,0,0,0,0,0,1,1,0,4.66,4.66,0.0,0.0,0.0,0.0,0.5714285714285714,1.1362241376617952,0
265,6,10,2011,0,0,0,0,0,0,0,6,0,0,4.67,4.67,0.0,1.0,0.0,1.2857142857142858,1.4642857142857142,1.4005856673692656,1
1515,3,3,2015,0,0,0,0,0,0,0,3,0,0,4.97,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0
718,4,1,2013,0,0,0,0,0,1,1,4,0,0,0.97,0.97,0.0,1.0,2.0,0.14285714285714285,0.21428571428571427,0.5681120688308983,0
1051,1,12,2013,0,0,0,0,0,0,1,1,1,0,7.24,7.24,0.0,0.0,0.0,0.0,0.0,0.0,0
809,4,4,2013,0,0,0,0,0,0,0,4,0,0,9.88,9.88,0.0,0.0,1.0,0.7142857142857143,1.0,0.9428090415820631,0
118,6,5,2011,0,0,0,0,0,0,0,6,0,0,5.27,5.27,0.0,0.0,0.0,0.14285714285714285,0.21428571428571427,0.6299407883487119,0
1063,6,12,2013,0,0,0,0,0,0,0,6,0,0,3.67,3.67,0.0,0.0,1.0,0.42857142857142855,1.2142857142857142,1.2868895275370966,0
1262,2,7,2014,0,0,0,0,0,1,0,2,0,0,1.58,1.58,0.0,0.0,2.0,0.0,0.42857142857142855,0.95949722283856,0
88,4,4,2011,9,4,0,0,0,0,0,4,0,1,,,,0.0,0.0,0.0,0.0,0.0,0
50,1,3,2011,0,0,0,0,0,0,0,1,1,0,1.98,1.98,0.0,8.0,2.0,4.285714285714286,3.5714285714285716,2.316264096574345,6
1847,6,2,2016,0,0,0,0,0,0,0,6,0,0,6.96,6.96,0.0,0.0,0.0,0.0,0.32142857142857145,0.7723735149271027,1
1731,2,10,2015,0,0,0,0,0,0,0,2,0,0,3.93,3.93,0.0,0.0,1.0,0.14285714285714285,0.21428571428571427,0.417855447018673,0
952,7,9,2013,0,0,0,0,1,1,1,7,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
969,3,9,2013,0,0,0,0,0,0,0,3,0,0,2.42,2.42,0.0,5.0,1.0,2.7142857142857144,3.5714285714285716,3.011442024808554,1
1640,2,7,2015,0,0,0,0,0,0,0,2,0,0,3.33,3.33,0.0,0.0,2.0,0.7142857142857143,0.8571428571428571,0.9704632614370019,2
1848,7,2,2016,0,0,0,0,0,0,0,7,1,0,2.98,2.98,0.0,4.0,0.0,4.285714285714286,3.642857142857143,2.3760266508401466,2
1,1,1,2011,0,0,0,0,0,0,0,1,1,0,,,,,,,,,0
1607,4,6,2015,0,0,0,0,0,0,0,4,0,0,2.98,2.98,0.0,1.0,2.0,1.0,1.2142857142857142,1.4235360994562194,1
316,1,12,2011,0,0,0,0,1,0,0,1,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
1805,6,1,2016,28,4,0,0,1,1,0,6,0,1,1.78,1.78,0.0,1.0,1.0,2.142857142857143,1.5357142857142858,1.5270921982678618,0
888,6,7,2013,16,3,0,0,1,0,0,6,0,1,3.24,3.24,0.0,1.0,0.0,0.2857142857142857,0.14285714285714285,0.35634832254989846,0
761,5,2,2013,0,0,0,0,0,0,0,5,0,0,0.97,0.97,0.0,0.0,0.0,0.2857142857142857,0.25,0.5853140973807065,0
512,1,6,2012,0,0,0,0,0,0,0,1,1,0,1.98,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0
932,1,8,2013,0,0,0,0,0,0,0,1,1,0,1.74,1.74,0.0,0.0,1.0,0.14285714285714285,0.32142857142857145,0.6696362433535825,0
750,1,2,2013,0,0,0,0,0,0,0,1,1,0,10.97,10.97,0.0,0.0,0.0,0.0,0.0,0.0,0
350,7,1,2012,0,0,0,0,0,1,0,7,1,0,11.97,11.97,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.35634832254989907,1
963,4,9,2013,0,0,0,0,0,0,0,4,0,0,2.48,2.48,0.0,0.0,2.0,0.5714285714285714,0.6785714285714286,0.9449111825230685,0
1485,1,2,2015,0,0,0,0,0,0,0,1,1,0,2.88,2.88,0.0,0.0,0.0,0.42857142857142855,0.35714285714285715,0.7310208850583774,0
1430,2,12,2014,0,0,0,0,0,0,0,2,0,0,6.48,6.48,0.0,1.0,1.0,0.42857142857142855,0.17857142857142858,0.39002102778748,0
1290,2,8,2014,0,0,0,0,1,0,0,2,0,0,5.47,5.47,0.0,0.0,0.0,0.2857142857142857,0.21428571428571427,0.49867549436206415,1
1798,6,12,2015,0,0,0,0,0,0,0,6,0,0,0.97,0.97,0.0,0.0,0.0,0.0,0.14285714285714285,0.448395139423038,0
772,2,3,2013,0,0,0,0,1,0,0,2,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
283,3,11,2011,22,4,0,0,1,1,0,3,0,1,,,,0.0,0.0,0.0,0.0,0.0,0
279,6,11,2011,0,0,0,0,1,1,1,6,0,0,5.16,5.16,0.0,0.0,1.0,0.5714285714285714,0.5357142857142857,0.7926581093427847,0
643,6,11,2012,0,0,0,0,1,1,0,6,0,0,3.48,3.48,0.0,1.0,0.0,3.2857142857142856,2.357142857142857,2.8312317135609026,1
1329,6,9,2014,0,0,0,0,0,0,0,6,0,0,2.98,2.98,0.0,0.0,1.0,0.8571428571428571,0.8214285714285714,0.9449111825230695,0
1709,1,10,2015,0,0,0,0,1,1,1,1,1,0,3.98,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0
522,4,7,2012,0,0,0,0,1,1,1,4,0,0,6.98,6.98,0.0,0.0,2.0,1.1428571428571428,2.2857142857142856,1.696557360747604,5
1266,6,7,2014,0,0,0,0,0,0,0,6,0,0,4.97,4.97,0.0,0.0,0.0,0.42857142857142855,0.17857142857142858,0.6118321864193027,0
1513,1,3,2015,0,0,0,0,0,0,0,1,1,0,3.47,3.47,0.0,2.0,4.0,3.0,1.4285714285714286,1.7089865185644066,3
1504,6,3,2015,0,0,0,0,0,1,1,6,0,0,2.97,2.97,0.0,1.0,0.0,0.2857142857142857,0.10714285714285714,0.31497039417435624,0
761,5,2,2013,0,0,0,0,0,0,0,5,0,0,1.88,1.88,0.0,2.0,3.0,1.4285714285714286,1.6428571428571428,1.6378460497066545,3
1594,5,6,2015,0,0,0,0,1,0,0,5,0,0,14.26,14.26,0.0,1.0,0.0,0.2857142857142857,0.14285714285714285,0.35634832254989895,0
1610,7,6,2015,0,0,0,0,0,0,0,7,1,0,7.97,7.97,0.0,1.0,2.0,0.5714285714285714,0.9642857142857143,1.201300001299298,1
175,7,7,2011,0,0,0,0,0,0,0,7,1,0,6.48,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0
990,3,10,2013,20,3,0,0,0,0,1,3,0,1,3.38,3.38,0.0,1.0,0.0,0.7142857142857143,0.6428571428571429,0.7800420555749582,3
1375,3,11,2014,0,0,0,0,1,1,1,3,0,0,4.48,4.48,0.0,1.0,4.0,2.2857142857142856,2.25,1.5061601901917647,3
1460,4,1,2015,0,0,0,0,0,0,0,4,0,0,4.97,4.97,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.35634832254989923,0
690,4,12,2012,0,0,0,0,0,0,0,4,0,0,2.97,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0
1136,2,3,2014,0,0,0,0,1,1,1,2,0,0,3.28,3.28,0.0,0.0,0.0,0.0,0.03571428571428571,0.18898223650461363,1
703,3,12,2012,0,0,0,0,0,0,0,3,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
1426,5,12,2014,26,4,0,0,0,0,0,5,0,1,2.88,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0
1555,1,5,2015,0,0,0,0,1,0,1,1,1,0,8.84,8.84,0.0,1.0,1.0,1.1428571428571428,1.1785714285714286,1.218790275416461,2
96,5,5,2011,0,0,0,0,1,0,0,5,0,0,3.97,3.97,0.0,0.0,0.0,0.42857142857142855,0.35714285714285715,0.7800420555749594,0
1034,5,11,2013,0,0,0,0,0,0,0,5,0,0,2.98,2.98,0.0,0.0,0.0,0.0,0.14285714285714285,0.4483951394230321,0
903,7,7,2013,0,0,0,0,0,0,0,7,1,0,2.98,2.98,0.0,8.0,9.0,4.0,4.535714285714286,3.615625993206615,5
1695,1,9,2015,0,0,0,0,0,0,0,1,1,0,2.68,2.68,0.0,1.0,0.0,0.14285714285714285,0.6071428571428571,0.9940297973880147,0
622,6,10,2012,0,0,0,0,0,1,1,6,0,0,5.94,5.94,0.0,0.0,1.0,0.0,0.10714285714285714,0.3149703941743559,0
850,3,5,2013,12,3,0,0,0,0,0,3,0,1,2.98,2.98,0.0,3.0,3.0,2.7142857142857144,2.6785714285714284,2.0194163335088495,7
1609,6,6,2015,0,0,0,0,0,0,0,6,0,0,1.98,1.98,0.0,1.0,1.0,1.0,1.0,1.247219128924648,0
1050,7,12,2013,0,0,0,0,0,1,0,7,1,0,2.73,2.73,0.0,0.0,0.0,0.0,0.07142857142857142,0.3779644730092272,0
923,6,8,2013,18,4,0,0,1,0,1,6,0,1,2.88,2.88,0.0,3.0,3.0,1.8571428571428572,1.4285714285714286,1.1683661091795396,4
1270,3,7,2014,0,0,0,0,0,0,0,3,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
92,1,4,2011,0,0,0,0,0,0,0,1,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
826,7,5,2013,0,0,0,0,1,1,1,7,1,0,5.98,5.98,0.0,0.0,1.0,0.5714285714285714,0.35714285714285715,0.6214848238238697,0
129,3,6,2011,0,0,0,0,1,1,1,3,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
1533,7,4,2015,0,0,0,0,1,0,0,7,1,0,2.88,2.88,0.0,0.0,0.0,0.42857142857142855,0.39285714285714285,0.9164862737363221,0
1435,7,1,2015,0,0,0,0,1,0,1,7,1,0,6.97,6.97,0.0,0.0,3.0,0.0,0.21428571428571427,0.686221153054518,0
905,2,7,2013,0,0,0,0,0,0,0,2,0,0,4.98,4.98,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.3563483225498991,0
183,1,7,2011,0,0,0,0,0,0,0,1,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
1574,6,5,2015,0,0,0,0,0,0,0,6,0,0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1240,1,6,2014,0,0,0,0,0,0,0,1,1,0,2.97,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0
753,4,2,2013,0,0,0,0,0,0,0,4,0,0,3.68,3.68,0.0,0.0,1.0,0.0,0.21428571428571427,0.6862211530545136,0
667,2,11,2012,0,0,0,0,0,0,0,2,0,0,4.47,4.47,0.0,0.0,0.0,0.0,0.0,0.0,0
765,2,3,2013,0,0,0,0,1,1,1,2,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
258,6,10,2011,0,0,0,0,0,1,0,6,0,0,2.98,2.98,0.0,12.0,6.0,9.428571428571429,8.428571428571429,3.73599678234229,8
357,7,1,2012,0,0,0,0,0,0,0,7,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
1683,3,9,2015,19,3,0,0,1,1,0,3,0,1,2.0,2.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.6900655593423568,0
1558,4,5,2015,10,2,0,0,1,1,1,4,0,1,2.98,2.98,0.0,2.0,4.0,3.142857142857143,3.7142857142857144,1.8630350160153921,4
372,1,2,2012,0,0,0,0,1,0,0,1,1,0,2.48,2.48,0.0,2.0,2.0,0.7142857142857143,1.6428571428571428,2.040593336267952,5
816,4,4,2013,0,0,0,0,0,0,0,4,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
1226,1,6,2014,0,0,0,0,1,1,0,1,1,0,1.87,1.87,0.0,1.0,2.0,1.2857142857142858,1.2857142857142858,1.3012000972647104,0
463,1,5,2012,10,2,0,0,1,1,1,1,1,1,,,,0.0,0.0,0.0,0.0,0.0,0
1392,6,11,2014,0,0,0,0,0,0,0,6,0,0,1.38,1.38,0.0,0.0,0.0,0.0,0.39285714285714285,1.1333099904225372,0
1221,3,6,2014,0,0,0,0,1,0,1,3,0,0,0.78,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0
1575,7,5,2015,0,0,0,0,0,0,0,7,1,0,2.78,2.78,0.0,0.0,1.0,0.7142857142857143,1.3928571428571428,1.4991179064218072,0
716,2,1,2013,0,0,0,0,0,1,0,2,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
727,6,1,2013,0,0,0,0,0,0,0,6,0,0,7.67,7.67,0.0,0.0,0.0,0.0,0.0,0.0,0
1428,7,12,2014,0,0,0,0,0,0,0,7,1,0,,,,0.0,0.0,0.0,0.0,0.0,0
352,2,1,2012,0,0,0,0,0,1,1,2,0,0,3.28,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0
1126,6,2,2014,0,0,0,0,0,0,0,6,0,0,8.98,8.98,0.0,2.0,0.0,0.5714285714285714,0.6785714285714286,1.020296668133975,1
439,5,4,2012,0,0,0,0,0,1,1,5,0,0,5.97,5.97,0.0,0.0,1.0,1.5714285714285714,1.5,1.2322818340454909,1
1790,5,12,2015,0,0,0,0,0,0,0,5,0,0,3.42,3.42,0.0,4.0,0.0,2.4285714285714284,3.142857142857143,2.189440749061462,3
704,4,1,2013,27,3,0,0,1,1,0,4,0,1,7.97,7.97,0.0,0.0,0.0,3.142857142857143,1.7857142857142858,1.892620031070851,2
1633,2,7,2015,0,0,0,0,0,0,0,2,0,0,1.98,1.98,0.0,2.0,2.0,1.1428571428571428,1.2857142857142858,1.2128064441201956,1
739,4,2,2013,0,0,0,0,1,1,1,4,0,0,2.68,2.68,0.0,8.0,5.0,12.142857142857142,11.821428571428571,6.874825635114468,9
124,5,6,2011,0,0,0,0,1,1,0,5,0,0,,,,0.0,0.0,0.0,0.0,0.0,0
